calcAzimuth,gesture,stepLength,timeMillis
20.216784,0,0.65,1575215822770
59.616207,0,0.65,1575215823340
57.818718,0,0.65,1575215823910
6.4518976,0,0.65,1575215824530
31.024553,0,0.65,1575215825100
29.816133,0,0.65,1575215825690
81.5964,0,0.65,1575215826310
59.963165,0,0.65,1575215826920
58.54869,0,0.65,1575215827540
12.313941,0,0.65,1575215828170
35.431316,0,0.65,1575215828780
65.12597,0,0.65,1575215829420
67.69611,0,0.65,1575215830030
7.739601,0,0.65,1575215830610
31.116991,0,0.65,1575215831250
37.343105,0,0.65,1575215831840
33.525223,0,0.65,1575215832480
33.111675,0,0.65,1575215833070
37.936035,0,0.65,1575215833680
33.08406,0,0.65,1575215834270
77.870766,0,0.65,1575215834850
48.681183,0,0.65,1575215835460
33.12662,0,0.65,1575215836020
25.495466,0,0.65,1575215836640
80.61277,0,0.65,1575215837200
57.44699,0,0.65,1575215837790
62.7779,0,0.65,1575215838400
26.495247,0,0.65,1575215839030
44.636574,0,0.65,1575215839580
35.56591,0,0.65,1575215840200
57.94699,0,0.65,1575215840800
46.45526,0,0.65,1575215841410
59.836063,0,0.65,1575215842060
59.60667,0,0.65,1575215842700
57.442112,0,0.65,1575215843370
65.15067,0,0.65,1575215843980
69.19626,0,0.65,1575215844610
78.14603,0,0.65,1575215845230
61.9307,0,0.65,1575215845880
41.374073,0,0.65,1575215846490
44.29044,0,0.65,1575215847140
86.97245,0,0.65,1575215847780
86.73848,0,0.65,1575215848390
35.757103,0,0.65,1575215849000
30.720446,0,0.65,1575215849630
29.49854,0,0.65,1575215850260
85.09063,0,0.65,1575215850880
57.294586,0,0.65,1575215851480
44.427654,0,0.65,1575215852100
6.354467,0,0.65,1575215852740
33.991787,0,0.65,1575215853350
35.0535,0,0.65,1575215854000
37.33194,0,0.65,1575215854620
46.672695,0,0.65,1575215855230
32.5947,0,0.65,1575215855840
39.51895,0,0.65,1575215856460
44.808487,0,0.65,1575215857090
29.068188,0,0.65,1575215857690
33.317818,0,0.65,1575215858330
31.193,0,0.65,1575215858950
64.549545,0,0.65,1575215859580
54.399487,0,0.65,1575215860150
44.810184,0,0.65,1575215860740
49.604836,0,0.65,1575215861340
75.710594,0,0.65,1575215861950
49.83484,0,0.65,1575215862560
35.015884,0,0.65,1575215863170
42.42536,0,0.65,1575215863790
44.28681,0,0.65,1575215864610
25.400772,0,0.65,1575215867790
59.926544,0,0.65,1575215868430
35.32631,0,0.65,1575215869080
91.133286,0,0.65,1575215869820
181.06349,0,0.65,1575215870860
186.22519,0,0.65,1575215871700
87.85765,0,0.65,1575215873060
105.503456,0,0.65,1575215873630
109.25877,0,0.65,1575215874170
106.223946,0,0.65,1575215874780
81.32668,0,0.65,1575215875320
64.16935,0,0.65,1575215875790
43.882183,0,0.65,1575215876290
121.55051,0,0.65,1575215876930
39.443096,0,0.65,1575215877620
200.53009,0,0.65,1575215878240
57.24847,0,0.65,1575215878830
218.53868,0,0.65,1575215879390
27.937647,0,0.65,1575215879990
35.265354,0,0.65,1575215880610
51.455986,0,0.65,1575215881210
115.23858,0,0.65,1575215881850
101.22625,0,0.65,1575215882440
103.51959,0,0.65,1575215883090
111.01605,0,0.65,1575215883690
103.18311,0,0.65,1575215884310
114.34997,0,0.65,1575215884940
108.76654,0,0.65,1575215885570
89.331154,0,0.65,1575215886140
102.62407,0,0.65,1575215886760
107.701836,0,0.65,1575215887320
94.07666,0,0.65,1575215887980
73.393585,0,0.65,1575215888530
68.984245,0,0.65,1575215889170
66.466225,0,0.65,1575215889730
60.148846,0,0.65,1575215890390
77.8708,0,0.65,1575215890960
84.30689,0,0.65,1575215891580
84.06108,0,0.65,1575215892130
84.18398,0,0.65,1575215892750
84.12253,0,0.65,1575215893330
84.15326,0,0.65,1575215893960
84.13789,0,0.65,1575215894510
84.14558,0,0.65,1575215895140
84.14174,0,0.65,1575215895690
84.143654,0,0.65,1575215896310
84.14269,8,0.65,1575215896910
84.14317,8,0.65,1575215897570
84.14294,8,0.65,1575215898170
84.14306,8,0.65,1575215898810
84.143,8,0.65,1575215899370
84.14303,8,0.65,1575215900020
34.09288,0,0.65,1575215900610
59.117954,0,0.65,1575215901260
46.605415,0,0.65,1575215901840
52.861683,0,0.65,1575215902440
41.8615,0,0.65,1575215903050
47.36159,0,0.65,1575215903660
24.396591,0,0.65,1575215904280
35.879093,0,0.65,1575215904910
30.137842,0,0.65,1575215905450
33.008465,0,0.65,1575215906120
43.53354,0,0.65,1575215906720
38.271004,0,0.65,1575215907320
40.90227,0,0.65,1575215907940
39.586636,0,0.65,1575215908540
34.315186,8,0.65,1575215909130
36.950912,8,0.65,1575215909730
25.320461,8,0.65,1575215910280
31.135687,8,0.65,1575215910870
12.859602,8,0.65,1575215911450
21.997644,8,0.65,1575215912070
19.735111,0,0.65,1575215912640
20.866377,0,0.65,1575215913220
14.739338,0,0.65,1575215913720
17.802858,0,0.65,1575215914270
25.306559,0,0.65,1575215914800
21.554708,0,0.65,1575215915390
14.95245,0,0.65,1575215915940
18.253578,0,0.65,1575215916540
41.272877,0,0.65,1575215917120
29.763227,0,0.65,1575215917700
44.54637,0,0.65,1575215918270
37.1548,0,0.65,1575215918890
15.928862,0,0.65,1575215919450
26.54183,0,0.65,1575215920040
7.4592357,0,0.65,1575215920620
17.000534,0,0.65,1575215921230
2.51961,0,0.65,1575215921790
9.760072,0,0.65,1575215922380
17.130638,0,0.65,1575215922970
15.482934,0,0.65,1575215923530
16.158794,0,0.65,1575215924060
222.05399,0,0.65,1575215924670
3.4875298,0,0.65,1575215925170
6.655346,0,0.65,1575215925770
41.076168,0,0.65,1575215926330
23.865757,0,0.65,1575215926900
38.864594,0,0.65,1575215927520
31.365175,0,0.65,1575215928120
0.80646,0,0.65,1575215928700
16.085817,0,0.65,1575215929290
35.53083,0,0.65,1575215929850
25.808325,0,0.65,1575215930430
26.193771,0,0.65,1575215930980
26.001047,0,0.65,1575215931560
29.457308,0,0.65,1575215932180
27.729177,0,0.65,1575215932890
267.04565,0,0.65,1575215933950
5.2200294,0,0.65,1575215934520
297.35886,0,0.65,1575215935080
23.877209,0,0.65,1575215935630
31.273987,0,0.65,1575215936270
32.595726,0,0.65,1575215936920
31.310461,0,0.65,1575215937550
21.42335,0,0.65,1575215938210
340.42505,0,0.65,1575215938840
340.6803,0,0.65,1575215939430
340.55267,0,0.65,1575215940000
27.86523,0,0.65,1575215940630
4.208954,0,0.65,1575215941240
2.0303829,0,0.65,1575215941790
3.1196682,0,0.65,1575215942420
13.953328,0,0.65,1575215943030
21.026934,0,0.65,1575215943650
20.597807,0,0.65,1575215944230
7.908951,0,0.65,1575215944800
14.695836,0,0.65,1575215945400
33.58616,0,0.65,1575215946020
22.934074,0,0.65,1575215946620
28.260117,0,0.65,1575215947260
41.181484,0,0.65,1575215948120
29.005013,0,0.65,1575215948820
35.093246,0,0.65,1575215949540
17.867996,0,0.65,1575215950220
21.640285,0,0.65,1575215950870
19.75414,0,0.65,1575215951470
20.697214,0,0.65,1575215952080
8.726058,0,0.65,1575215952750
34.6614,0,0.65,1575215953270
21.69373,0,0.65,1575215953830
14.03586,0,0.65,1575215954630
17.864796,0,0.65,1575215955440
18.8205,0,0.65,1575215956150
18.342648,0,0.65,1575215956780
5.5598197,0,0.65,1575215957430
9.593339,0,0.65,1575215958040
23.675762,0,0.65,1575215960410
213.10417,0,0.65,1575215961110
8.44881,0,0.65,1575215961690
221.34665,0,0.325,1575215962290
1.4783593,0,0.65,1575215962880
277.6778,0,0.65,1575215963530
3.386621,0,0.65,1575215964100
2.9095554,0,0.65,1575215964690
19.844301,0,0.65,1575215965270
11.376928,0,0.65,1575215965870
1.856207,0,0.65,1575215966480
18.852798,0,0.65,1575215967080
20.314243,0,0.65,1575215967680
335.82608,0,0.65,1575215968320
14.490323,0,0.65,1575215968920
24.378845,0,0.65,1575215969530
19.856806,0,0.65,1575215970110
22.065275,0,0.65,1575215970750
31.975803,0,0.65,1575215971350
27.02054,0,0.65,1575215971940
17.548094,0,0.65,1575215972540
22.284317,0,0.65,1575215973180
11.258203,0,0.65,1575215973760
275.4956,0,0.65,1575215974400
